region,ym,d,minTemp,maxTemp,weather
강원,200303,10,-2.0,4.0,구름많음/비
강원,200303,11,-3.0,6.0,구름조금
강원,200303,12,-1.0,8.0,구름많음
강원,200303,13,1.0,10.0,맑음
강원,200303,14,1.0,9.0,구름많음/안개
강원,200303,15,4.0,8.0,흐림/안개
강원,200303,16,1.0,5.0,흐림/비
강원,200303,17,1.0,4.0,흐림/안개/이슬비
강원,200303,18,0.0,13.0,맑음
강원,200303,19,1.0,10.0,맑음
강원,200303,20,1.0,11.0,구름조금
강원,200303,21,2.0,10.0,구름많음/안개
강원,200303,22,4.0,12.0,구름조금
강원,200303,23,7.0,16.0,구름조금
강원,200303,24,8.0,16.0,구름많음
강원,200303,25,10.0,16.0,구름조금/안개
강원,200303,26,10.0,20.0,구름많음/안개
강원,200303,27,8.0,14.0,구름많음/소나기/황사
강원,200303,28,4.0,12.0,구름조금
강원,200303,29,3.0,13.0,구름조금
강원,200303,30,8.0,19.0,흐림
강원,200303,31,9.0,17.0,흐림/안개
강원,200304,1,6.0,13.0,구름많음
강원,200304,2,5.0,13.0,구름많음
강원,200304,3,4.0,13.0,구름많음
강원,200304,4,4.0,13.0,구름많음
강원,200304,5,2.0,15.0,맑음
강원,200304,6,6.0,21.0,구름조금
강원,200304,7,9.0,21.0,흐림/비
강원,200304,8,6.0,11.0,흐림/비
강원,200304,9,2.0,8.0,구름많음/안개/비
강원,200304,10,2.0,15.0,구름조금
강원,200304,11,6.0,11.0,흐림/안개/비
강원,200304,12,8.0,22.0,구름조금/황사
강원,200304,13,11.0,21.0,구름조금/황사
강원,200304,14,10.0,19.0,구름조금
강원,200304,15,11.0,22.0,맑음
강원,200304,16,15.0,28.0,구름조금
강원,200304,17,18.0,26.0,구름많음
강원,200304,18,7.0,22.0,흐림/비
강원,200304,19,6.0,10.0,흐림/비
강원,200304,20,7.0,9.0,흐림/비
강원,200304,21,7.0,12.0,구름많음
강원,200304,22,5.0,16.0,흐림/비
강원,200304,23,10.0,17.0,흐림/비
강원,200304,24,11.0,21.0,흐림
강원,200304,25,10.0,15.0,흐림/비
강원,200304,26,8.0,21.0,구름조금/천둥번개
강원,200304,27,15.0,25.0,맑음
강원,200304,28,17.0,28.0,구름조금
강원,200304,29,10.0,21.0,흐림/비
강원,200304,30,8.0,18.0,구름조금/안개
강원,200305,1,7.0,27.0,맑음
강원,200305,2,19.0,27.0,맑음
강원,200305,3,15.0,27.0,구름조금
강원,200305,4,11.0,17.0,구름많음/안개
강원,200305,5,12.0,17.0,구름많음/안개
강원,200305,6,13.0,15.0,흐림/안개/비
강원,200305,7,8.0,15.0,흐림/비
강원,200305,8,7.0,14.0,구름조금/비
강원,200305,9,6.0,20.0,맑음
강원,200305,10,12.0,22.0,구름많음
강원,200305,11,9.0,18.0,맑음/안개
강원,200305,12,10.0,20.0,맑음/안개
강원,200305,13,12.0,25.0,구름조금/안개
강원,200305,14,13.0,22.0,흐림/안개
강원,200305,15,12.0,17.0,흐림/안개/비
강원,200305,16,10.0,18.0,구름조금/안개
강원,200305,17,12.0,20.0,구름많음/소나기/안개
강원,200305,18,13.0,19.0,흐림/안개
강원,200305,19,12.0,23.0,구름많음/안개
강원,200305,20,16.0,23.0,구름많음/안개
강원,200305,21,14.0,19.0,구름조금/안개
강원,200305,22,14.0,21.0,흐림/안개
강원,200305,23,15.0,22.0,구름많음/안개
강원,200305,24,14.0,18.0,흐림/안개/이슬비
강원,200305,25,15.0,16.0,흐림/비
강원,200305,26,15.0,20.0,구름많음/안개
강원,200305,27,14.0,19.0,흐림/안개/이슬비
강원,200305,28,15.0,23.0,흐림/안개
강원,200305,29,16.0,19.0,흐림/안개
강원,200305,30,16.0,18.0,흐림/안개/비
강원,200305,31,15.0,19.0,흐림/안개/비
강원,200306,1,13.0,22.0,구름조금
강원,200306,2,13.0,24.0,맑음
강원,200306,3,13.0,27.0,구름조금
강원,200306,4,19.0,29.0,구름많음
강원,200306,5,18.0,29.0,맑음
강원,200306,6,16.0,22.0,흐림/소나기/안개
강원,200306,7,17.0,27.0,구름조금
강원,200306,8,19.0,29.0,구름조금
강원,200306,9,16.0,23.0,구름많음/안개
강원,200306,10,16.0,23.0,흐림/안개
강원,200306,11,17.0,21.0,흐림/안개/비
강원,200306,12,17.0,21.0,흐림/비
강원,200306,13,18.0,25.0,흐림
강원,200306,14,18.0,25.0,구름많음/소나기/안개
강원,200306,15,17.0,21.0,흐림/안개/비
강원,200306,16,17.0,22.0,흐림/소나기/안개
강원,200306,17,16.0,27.0,구름조금/안개
강원,200306,18,22.0,28.0,구름많음/안개
강원,200306,19,19.0,24.0,흐림/비
강원,200306,20,19.0,29.0,구름많음/안개/비
강원,200306,21,22.0,30.0,구름조금/안개
강원,200306,22,21.0,27.0,구름많음/안개
강원,200306,23,20.0,22.0,흐림/안개/비
강원,200306,24,20.0,27.0,흐림/비
강원,200306,25,19.0,23.0,흐림/안개/비
강원,200306,26,19.0,23.0,흐림
강원,200306,27,18.0,20.0,흐림/비
강원,200306,28,18.0,22.0,흐림/안개/비
강원,200306,29,18.0,27.0,구름많음/안개
강원,200306,30,21.0,28.0,구름많음/안개
강원,200307,1,20.0,23.0,흐림/비
강원,200307,2,18.0,28.0,구름많음
강원,200307,3,17.0,22.0,흐림/비
강원,200307,4,17.0,24.0,구름많음
강원,200307,5,18.0,27.0,구름조금
강원,200307,6,19.0,23.0,흐림/안개/비
강원,200307,7,19.0,23.0,흐림/안개/비
강원,200307,8,18.0,25.0,흐림/안개
강원,200307,9,20.0,25.0,흐림/비
강원,200307,10,21.0,25.0,흐림/비
강원,200307,11,20.0,25.0,구름많음/안개
강원,200307,12,18.0,25.0,흐림/안개/비
강원,200307,13,18.0,24.0,흐림/비
강원,200307,14,18.0,24.0,구름많음/비
강원,200307,15,18.0,25.0,구름많음
강원,200307,16,17.0,25.0,구름많음/비
강원,200307,17,19.0,24.0,흐림/비
강원,200307,18,19.0,23.0,흐림/안개/비
강원,200307,19,20.0,25.0,구름많음/안개/비
강원,200307,20,19.0,28.0,구름조금/안개
강원,200307,21,21.0,25.0,흐림/안개/비
강원,200307,22,21.0,23.0,비/안개비
강원,200307,23,19.0,22.0,흐림/비
강원,200307,24,19.0,25.0,흐림/안개
강원,200307,25,20.0,23.0,흐림/이슬비
강원,200307,26,19.0,22.0,흐림/안개/이슬비
강원,200307,27,18.0,23.0,흐림/비
강원,200307,28,19.0,24.0,흐림/비
강원,200307,29,20.0,22.0,흐림/안개/이슬비
강원,200307,30,20.0,25.0,구름많음/비
강원,200307,31,21.0,26.0,구름많음/안개
강원,200308,1,19.0,27.0,구름많음/안개
강원,200308,2,21.0,25.0,흐림/안개/비
강원,200308,3,22.0,30.0,구름많음/소나기
강원,200308,4,23.0,30.0,구름많음
강원,200308,5,21.0,29.0,구름조금/안개
강원,200308,6,21.0,33.0,구름많음/비
강원,200308,7,21.0,28.0,구름많음/안개/비
강원,200308,8,20.0,28.0,맑음
강원,200308,9,19.0,27.0,구름조금
강원,200308,10,23.0,31.0,흐림/안개/비
강원,200308,11,21.0,26.0,구름많음/안개/비
강원,200308,12,19.0,29.0,맑음
강원,200308,13,18.0,26.0,구름많음
강원,200308,14,17.0,25.0,구름조금
강원,200308,15,20.0,25.0,구름많음/소나기
강원,200308,16,21.0,25.0,흐림/비
강원,200308,17,20.0,25.0,흐림/비
강원,200308,18,19.0,23.0,흐림/비
강원,200308,19,19.0,22.0,흐림/안개/이슬비
강원,200308,20,21.0,25.0,흐림/안개/비
강원,200308,21,22.0,33.0,구름많음
강원,200308,22,26.0,34.0,흐림
강원,200308,23,23.0,29.0,흐림/비
강원,200308,24,21.0,24.0,흐림/비
강원,200308,25,20.0,26.0,구름많음/비
강원,200308,26,19.0,26.0,흐림
강원,200308,27,20.0,24.0,흐림/안개/비
강원,200308,28,20.0,25.0,흐림/이슬비
강원,200308,29,18.0,26.0,흐림/비
강원,200308,30,17.0,24.0,흐림/비
강원,200308,31,17.0,22.0,흐림/비
강원,200309,1,17.0,24.0,흐림
강원,200309,2,19.0,21.0,흐림/비
강원,200309,3,19.0,25.0,흐림/비
강원,200309,4,17.0,26.0,구름많음/안개
강원,200309,5,20.0,27.0,흐림/안개/비
강원,200309,6,20.0,24.0,흐림/안개/비
강원,200309,7,20.0,23.0,흐림/비
강원,200309,8,20.0,23.0,흐림/안개/이슬비
강원,200309,9,18.0,24.0,흐림/안개/비
강원,200309,10,17.0,27.0,구름많음
